,transcriptomics_sample_id,cell_specimen_id,ephys_session_id,age,ephys_path,hemisphere_right,biological_sex_M,r,g,b,0_dim_pos,0_embed_pos,1_dim_pos,1_embed_pos,2_dim_pos,2_embed_pos,3_dim_pos,3_embed_pos,4_dim_pos,4_embed_pos,5_dim_pos,5_embed_pos,6_dim_pos,6_embed_pos,7_dim_pos,7_embed_pos,8_dim_pos,8_embed_pos,9_dim_pos,9_embed_pos,structure_VISl2/3,structure_VISl5,structure_VISl6a,structure_VISp1,structure_VISp2/3,structure_VISp4,structure_VISp5,structure_VISp6a,structure_VISpm2/3,structure_VISpm5,structure_VISpm6a,just_my_type_0,just_my_type_1,just_my_type_2,just_my_type_3,just_my_type_4,just_my_type_5,just_my_type_6,just_my_type_7,just_my_type_8,just_my_type_9,just_my_type_10,mean_resting_volt
435,SM-GE66Q_S044_E1-50,656977690,656977634,61,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656436829\sub-656436829_ses-656977634_icephys.nwb,0,0,0.8187488187488189,1.0,0.0,0.4857899890249833,-1.9477752,0.26257857732265516,0.1291863,0.5867072390390337,0.7403145,0.49403766918542036,-1.7877595,0.49104116679964643,5.268292,0.5348108909514095,1.9672483,0.3931373382923353,2.4927397,0.44944206840095563,1.8907686,0.4019417410623149,6.0679903,0.30691587599289105,8.224186,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-68.65934222358833
436,SM-GE66Q_S036_E1-50,656990595,656990572,61,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656436829\sub-656436829_ses-656990572_icephys.nwb,0,0,0.8187488187488189,1.0,0.0,0.5091236696937875,-1.8893832,0.10662496935527438,-0.11778787,0.5330843382415994,0.6907833,0.8033988530867668,-1.2469487,0.6116616909891489,5.6626577,0.03461733173608182,0.65323424,0.42165946796110804,2.5782182,0.338079979848775,1.6976051,0.825592348977916,6.510291,0.5906316434519521,8.493818,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-72.23212956859973
438,SM-GE8ZC_S105_E1-50,657032464,657032424,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656436967\sub-656436967_ses-657032424_icephys.nwb,0,0,0.8187488187488189,1.0,0.0,0.4206095203938773,-2.110888,0.34883985181006333,0.265793,0.6539837353210728,0.8024574,0.29620471587872566,-2.133602,0.4288094674240524,5.064827,0.77137479650863,2.5887043,0.3630554624586416,2.4025867,0.5107293498400395,1.9970747,0.14506497768768523,5.799805,0.1777420629339032,8.101424,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-71.87716101562691
439,SM-GE8ZC_S099_E1-50,657033914,657033546,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656436967\sub-656436967_ses-657033546_icephys.nwb,1,0,0.8187488187488189,1.0,0.0,0.40939560769080496,-2.1389506,0.40424375499104354,0.35353276,0.6951415919606708,0.84047467,0.14630878385739196,-2.395643,0.4276014318251894,5.0608773,0.7995440993730843,2.6627054,0.40701928600191645,2.5343428,0.5174589512027756,2.0087476,0.1847722311957326,5.8412604,0.40799908855500383,8.320251,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-69.99016411434938
440,SM-GE8ZC_S106_E1-50,657039903,657039698,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656436967\sub-656436967_ses-657039698_icephys.nwb,0,0,0.8187488187488189,1.0,0.0,0.383178014653395,-2.2045596,0.40754217945086624,0.35875627,0.6942790388587156,0.83967793,0.1772003731670184,-2.3416398,0.41447390746763074,5.017957,0.8617836078671058,2.8262093,0.3737579337208479,2.4346611,0.5038936352152799,1.9852178,0.11669880416604568,5.7701902,0.221516155559727,8.143025,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-72.38990158581784
441,SM-GE8ZC_S107_E1-50,657042607,657042592,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656436967\sub-656436967_ses-657042592_icephys.nwb,1,0,0.8187488187488189,1.0,0.0,0.43523973074192696,-2.0742762,0.370465560249408,0.3000403,0.6226231836052994,0.77348983,0.3267246612545546,-2.0802484,0.4414277004244664,5.106082,0.7440557921416353,2.516937,0.38713295994910313,2.474745,0.503060673598879,1.983773,0.22094530255506173,5.879026,0.2458918486497707,8.166191,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-70.04156097123987
442,SM-GE8ZC_S100_E1-50,657048112,657048097,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656436967\sub-656436967_ses-657048097_icephys.nwb,1,0,0.8187488187488189,1.0,0.0,0.35561297620372245,-2.2735405,0.38965403426573225,0.3304279,0.7728058293813089,0.91221267,0.0842244713644419,-2.504176,0.4063945222122627,4.991542,0.8696683589464436,2.8469226,0.3632786924769405,2.4032557,0.5434175264610922,2.053774,0.031496149001759274,5.6812367,0.28149454986181055,8.2000265,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-76.24753642021027
443,SM-GE8ZC_S103_E1-50,657048690,657048675,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656436967\sub-656436967_ses-657048675_icephys.nwb,1,0,0.8187488187488189,1.0,0.0,0.3663509052201891,-2.246669,0.38949264346647483,0.33017233,0.7580331152876514,0.8985672,0.11581993382721652,-2.4489422,0.408942729140107,4.999873,0.8659336344860988,2.8371115,0.36145387060960615,2.3977869,0.5209336107243927,2.0147746,0.05813268336635616,5.709046,0.24088445049739665,8.161432,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-67.07769834444757
447,SM-GE8ZC_S124_E1-50,657179762,657179697,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656436974\sub-656436974_ses-657179697_icephys.nwb,0,0,0.8187488187488189,1.0,0.0,0.4334884232705127,-2.0786588,0.38480912989562804,0.32275534,0.64012655226733,0.7896576,0.29671915291295836,-2.1327026,0.43449159550949273,5.0834045,0.7707687239965115,2.5871122,0.38951283378994833,2.4818773,0.5014007295459968,1.9808937,0.20787321321951427,5.8653784,0.2599075460433996,8.179511,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-94.21795233204706
449,SM-GE8ZC_S113_E1-50,657185314,657185299,60,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656436807\sub-656436807_ses-657185299_icephys.nwb,1,0,0.0,1.0,0.3625004724974956,0.6371238145688252,-0.1418463,0.42454451949128885,-0.61198765,0.7990780792324135,-0.17744386,0.40135076316108864,10.048215,0.44777823695486496,5.0898314,0.6002711239548351,1.3946573,0.47747166625325255,3.8004718,0.43032223172046147,2.312174,0.6306016818538719,7.4038644,0.6148462769421048,6.379593,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-67.63009701038314
451,SM-GE8ZC_S121_E1-50,657194483,657194465,58,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656436937\sub-656436937_ses-657194465_icephys.nwb,1,0,0.0,1.0,0.3625004724974956,0.4958641513591878,-0.49534565,0.5196544171620018,-0.46136793,0.441597472804706,-0.5076466,0.7142315855943658,10.595179,0.5030850614940936,5.2706556,0.6710822294059587,1.5806788,0.48939052631795,3.8361917,0.39204310951724436,2.245777,0.6694731181827832,7.444447,0.5881073729003896,6.3541813,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-69.75111081375209
453,SM-GE8ZC_S135_E1-50,657346185,657346133,55,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656854238\sub-656854238_ses-657346133_icephys.nwb,1,1,1.0,0.0,0.09375,0.5937776446481808,10.166235,0.5793042959012578,-0.02378477,0.43064855914787886,0.6856726,0.5331482493304124,2.7730343,0.308821619611209,0.6974611,0.5361306732921141,1.6085932,0.28591954681980475,2.677951,0.2618688715087138,1.1516712,0.4480391137798114,6.82367,0.49047063507862326,6.9442453,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.42906724960122
454,SM-GE8ZC_S137_E1-50,657364930,657364900,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656841505\sub-656841505_ses-657364900_icephys.nwb,0,1,1.0,0.0,0.6843755906255904,0.2905318296289187,11.67986,0.462208645614624,-0.65240943,0.5628381936391574,0.68034315,0.523017781227473,1.820387,0.35554880993888227,6.1655035,0.5181653608018354,3.1825602,0.5329493377360789,4.7932086,0.6394421938047458,1.5222318,0.49203643874339137,6.9312944,0.493666739911351,6.4105086,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-72.99215910294934
455,SM-GE8ZC_S136_E1-50,657365021,657364977,55,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656854248\sub-656854248_ses-657364977_icephys.nwb,1,1,0.0,1.0,0.3625004724974956,0.6164503751414754,-0.19358115,0.42938786189353645,-0.60431755,0.7674219706343756,-0.20668443,0.35503942836778857,9.967256,0.4530241421167029,5.1069827,0.5840289614722435,1.3519889,0.4744893259375045,3.791534,0.4265391289864346,2.305612,0.6011544267677433,7.373121,0.5998240824849826,6.3653164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-74.55962495688622
456,SM-GE8ZC_S138_E1-50,657366321,657366300,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656841505\sub-656841505_ses-657366300_icephys.nwb,0,1,0.0,0.4562523625023619,1.0,0.6474086968627675,12.226364,0.3636280365476144,-1.0201327,0.31491109100641396,0.35413286,0.4353199733918431,1.6345963,0.4722001576436502,3.659493,0.7012710479247494,3.3280933,0.606117550619164,6.39941,0.5196139301172862,2.233885,0.6443127374372943,7.1438527,0.45470536903678693,6.570525,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-62.17906107068365
457,SM-GE8ZC_S132_E1-50,657382231,657382210,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656841465\sub-656841465_ses-657382210_icephys.nwb,1,1,0.8187488187488189,1.0,0.0,0.5395806234403434,-1.8131653,0.13155921740773013,-0.07830103,0.4852956570601657,0.6466412,0.8285210283298117,-1.2030313,0.6102862251273987,5.6581607,0.055677353209697376,0.70855916,0.42126002465323964,2.5770211,0.3551939047555155,1.7272902,0.8198987440844135,6.504347,0.5483567598120295,8.453642,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-77.78122220305355
458,SM-GE8ZC_S133_E1-50,657382503,657382488,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656841465\sub-656841465_ses-657382488_icephys.nwb,1,1,0.8187488187488189,1.0,0.0,0.45552296191558683,-2.0235178,0.02213773279407822,-0.25158513,0.7573571142181456,0.8979428,0.43659645096922933,-1.8881756,0.530502058732227,5.3973083,0.34135908863341874,1.4590483,0.3246400902326292,2.287459,0.39819245552294485,1.8018734,0.3872199404420465,6.0526204,0.37030712823409767,8.2844305,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-67.72063188922417
459,SM-GE8ZC_S140_E1-50,657442490,657442453,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656841515\sub-656841515_ses-657442453_icephys.nwb,1,1,0.22812322812322794,1.0,0.0,0.43150569778973785,11.986826,0.35821758690007516,-0.45529565,0.14743205188628528,0.45865124,0.40276157808702184,1.7545685,0.5510621449863518,8.867853,0.7220685559600148,3.829488,0.8667006494711088,4.0318794,0.9130428563287231,0.92608154,0.4623516836937924,6.784992,0.31139744716493567,6.312628,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-71.87927895680075
460,SM-GE8ZC_S141_E1-50,657454163,657454030,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656841515\sub-656841515_ses-657454030_icephys.nwb,1,1,0.22812322812322794,1.0,0.0,0.5841729874395954,12.368873,0.32143627371796707,-0.51354396,0.35915144412269717,0.6542152,0.45204660988308165,1.8407263,0.5024128610745404,8.708796,0.6662298375322062,3.682799,0.7682361636590949,3.7367892,0.5690985036873174,0.32949162,0.4558889443032052,6.778245,0.3194795282709919,6.3203087,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-70.7414106029323
461,SM-GE8ZI_S131_E1-50,657514629,657514600,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656841567\sub-656841567_ses-657514600_icephys.nwb,0,1,0.0,1.0,0.3625004724974956,0.46641037419952436,-0.5690531,0.48773816338101517,-0.51191175,0.4338668236896882,-0.5147874,0.6219302345795187,10.433822,0.5051519793387256,5.2774134,0.6333826677177495,1.4816417,0.4837188450297877,3.819194,0.4357998477889753,2.3216753,0.582397410421974,7.353538,0.4889358023182914,6.2599325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-75.38907563448727
462,SM-GE8ZI_S129_E1-50,657532988,657532766,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-657069440\sub-657069440_ses-657532766_icephys.nwb,0,0,1.0,0.5906255906255905,0.0,0.48113452368188014,7.333882,0.43625337869396524,-0.23993231,0.5085223207640769,0.71140707,0.4736335307298214,3.1583478,0.4693464779931428,3.018556,0.6047282254981695,1.8767964,0.4545718145079366,2.8264887,0.42226593967760945,1.7003582,0.5197170594858598,7.1967683,0.5892834591999051,7.2002354,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-74.22418562147946
463,SM-GE8ZI_S130_E1-50,657585527,657585506,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-657069440\sub-657069440_ses-657585506_icephys.nwb,0,0,0.0,1.0,0.3625004724974956,0.41747156268893565,-0.69152147,0.44160079446998945,-0.5849767,0.2911636819196361,-0.64660144,0.18588456673933199,9.671547,0.49421490369049004,5.241655,0.5337096051026076,1.2197994,0.4516802459138133,3.723177,0.5038956970014591,2.4397912,0.28352060543041024,7.041504,0.3333221242254856,6.1120434,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-74.46355327443108
464,SM-GE8ZI_S141_E1-50,657660421,657660406,59,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656841535\sub-656841535_ses-657660406_icephys.nwb,1,0,0.22812322812322794,1.0,0.0,0.5559893416886557,12.298344,0.3446302731609164,-0.47681305,0.3870859816361731,0.6800182,0.4784617650580043,1.886904,0.43376091117407034,8.48434,0.6253039698042703,3.5752864,0.7337635936201501,3.6334777,0.5753156309136594,0.34027556,0.4785039648632706,6.8018556,0.3844327074108298,6.3820376,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-65.79133722068758
465,SM-GE8ZI_S145_E1-50,657661639,657661624,59,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656841535\sub-656841535_ses-657661624_icephys.nwb,0,0,1.0,0.5906255906255905,0.0,0.4451005769283512,7.2437077,0.4630318967695113,-0.19752482,0.5372555281169259,0.73794776,0.5127517483281319,3.2267325,0.5456184737648666,3.2679255,0.6057702019150055,1.8795336,0.4090826123577968,2.6901612,0.4343101385482899,1.7212495,0.5915776974715007,7.2717924,0.6160384190272792,7.225662,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-66.87830108485751
466,SM-GE8ZI_S139_E1-50,657661669,657661654,59,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-656841535\sub-656841535_ses-657661654_icephys.nwb,1,0,1.0,0.0,0.6843755906255904,0.5597148953477887,12.353485,0.4892784518765396,-0.60954064,0.45045495169027017,0.5765354,0.5226953715909602,1.8198234,0.6436343081676523,7.107392,0.6711522934939126,3.5844586,0.4193480110182447,4.4527545,0.31852916113061996,0.96559095,0.5556740972245706,6.9977336,0.46275433508492164,6.3811307,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-78.07668058444577
