,transcriptomics_sample_id,cell_specimen_id,ephys_session_id,age,ephys_path,hemisphere_right,biological_sex_M,r,g,b,0_dim_pos,0_embed_pos,1_dim_pos,1_embed_pos,2_dim_pos,2_embed_pos,3_dim_pos,3_embed_pos,4_dim_pos,4_embed_pos,5_dim_pos,5_embed_pos,6_dim_pos,6_embed_pos,7_dim_pos,7_embed_pos,8_dim_pos,8_embed_pos,9_dim_pos,9_embed_pos,structure_VISl2/3,structure_VISl5,structure_VISl6a,structure_VISp1,structure_VISp2/3,structure_VISp4,structure_VISp5,structure_VISp6a,structure_VISpm2/3,structure_VISpm5,structure_VISpm6a,just_my_type_0,just_my_type_1,just_my_type_2,just_my_type_3,just_my_type_4,just_my_type_5,just_my_type_6,just_my_type_7,just_my_type_8,just_my_type_9,just_my_type_10,mean_resting_volt
1,PS0817_E1-50_S19,601790961,601790945,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462951\sub-601462951_ses-601790945_icephys.nwb,0,0,1.0,0.5906255906255905,0.0,0.5802109663044505,7.5818186,0.5125269837575193,-0.11914248,0.43620124070868155,0.6446045,0.5560600637532533,3.302442,0.5815001792152913,3.3852398,0.6418023835204597,1.9741906,0.47760213568661325,2.8955088,0.4424880759757153,1.7354345,0.5203724680388981,7.1974525,0.3659941428114717,6.98803,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-80.69084442905898
2,PS0817_E1-50_S25,601803754,601803733,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462951\sub-601462951_ses-601803733_icephys.nwb,1,0,0.22812322812322794,1.0,0.0,0.29668493819892305,11.64944,0.5989379436947051,-0.07408158,0.46868220160446905,0.75538814,0.4998587042534487,1.9243091,0.5991575089169386,9.0251,0.6014823614131656,3.5127068,0.3926798997302474,2.611277,0.5631022281238718,0.31909075,0.4912248282913014,6.8151364,0.5479513512241418,6.5374393,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-65.9520499859984
3,PS0817_E1-50_S26,601808698,601808619,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462951\sub-601462951_ses-601808619_icephys.nwb,1,0,0.22812322812322794,1.0,0.0,0.2671499408445375,11.575529,0.535275667105491,-0.17489962,0.44339294739027896,0.7320286,0.4533444996063784,1.8429952,0.46657753439031613,8.591633,0.5964390176727619,3.4994578,0.5913444330361031,3.2066588,0.815510473478419,0.7569064,0.5569844575999484,6.883791,0.4996128997814697,6.4915004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-67.45819874487876
4,PS0817_E1-50_S27,601810307,601810292,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462951\sub-601462951_ses-601810292_icephys.nwb,1,0,0.22812322812322794,1.0,0.0,0.6023792681793073,12.4144335,0.4679219288374489,-0.2815636,0.5471445926360958,0.8278634,0.6023176636071346,2.103423,0.4717748731083026,8.608625,0.6012789758936002,3.5121725,0.26799591063921246,2.2376091,0.1291925571777905,-0.43354884,0.6007588979824254,6.9294925,0.49812472914820904,6.490086,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-64.92347956564343
5,PS0817_E1-50_S28,601811091,601811076,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462951\sub-601462951_ses-601811076_icephys.nwb,0,0,1.0,0.0,0.6843755906255904,0.5810335530038407,12.406835,0.4009503739936976,-0.7494204,0.35019836619317796,0.48392898,0.5055364688802094,1.789827,0.2724403944304805,5.8937826,0.6350371603646374,3.4895837,0.6241024437898098,5.066387,0.5500051394822868,1.3670985,0.6131417806932099,7.057731,0.46665388402683056,6.3848367,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-68.0005947250269
6,PS0817_E1-50_S46,602231708,602231628,59,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462926\sub-601462926_ses-602231628_icephys.nwb,1,1,0.22812322812322794,1.0,0.0,0.593496017791174,12.392203,0.4785256205060081,-0.2647712,0.4872278353748097,0.77251863,0.5712318647702687,2.0490804,0.7131349311515202,9.397746,0.6419079788136387,3.6189053,0.31179418120027774,2.368869,0.10262826350312498,-0.47962603,0.42738620830257024,6.7484875,0.45315698920730535,6.4473505,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-71.58968779394426
7,PS0817_E1-50_S52,602535278,602535253,60,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462915\sub-601462915_ses-602535253_icephys.nwb,1,1,0.22812322812322794,1.0,0.0,0.4803372795887023,12.109026,0.42227932735917456,-0.353845,0.3868418056103035,0.67979264,0.5260924699120592,1.9701698,0.5757131884477814,8.948449,0.6276650932656765,3.581489,0.5493147392878684,3.0806992,0.4364346932304935,0.09937912,0.4319836595185173,6.7532873,0.4219164442614719,6.4176607,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-70.3961045011165
8,PS0830_E1-50_S17,604626221,604626206,51,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-603513553\sub-603513553_ses-604626206_icephys.nwb,1,1,0.8187488187488189,1.0,0.0,0.47934229647599885,-1.9639105,0.08103123212730841,-0.1583191,0.6992755488637651,0.8442932,0.4613523012191806,-1.8448986,0.5210190594959997,5.366304,0.38855501155878863,1.5830325,0.3395882277872716,2.3322573,0.4141150803753377,1.8294921,0.3744835481702504,6.0393233,0.29187762575011,8.209894,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-65.57199950657325
9,PS0830_E1-50_S19,604646725,604646572,51,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-603513553\sub-603513553_ses-604646572_icephys.nwb,1,1,1.0,0.5906255906255905,0.0,0.17424432756172908,6.5658956,0.4407942074420544,-0.23274128,0.3640898784344902,0.57799566,0.5014284054850238,3.2069376,0.46947263407101514,3.0189686,0.5898090672152493,1.8376036,0.5017092274631786,2.9677558,0.5293628111608578,1.8861234,0.6072983681304415,7.288205,0.5055008574285749,7.1206117,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-69.98641409348646
11,PS0830_E1-50_S26,605160536,605160446,54,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-603513520\sub-603513520_ses-605160446_icephys.nwb,1,1,0.8187488187488189,1.0,0.0,0.5648540614869082,-1.749919,0.8399783815771579,1.043579,0.07752075819402059,0.2699819,0.6916237690902166,-1.4423487,0.5029793237409637,5.3073235,0.7269743127090482,2.4720638,0.6416484346044489,3.2375076,0.4681315415796426,1.9231865,0.8653745063205963,6.5518246,0.7131673926275823,8.610271,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-66.30983163025415
12,PS0830_E1-50_S70,606098116,606098055,55,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-605770584\sub-605770584_ses-606098055_icephys.nwb,1,1,1.0,0.0,0.09375,0.4101237788911106,9.706645,0.5934971299889449,-0.0013084483,0.5004175996559391,0.75011784,0.6065275369827166,2.9013126,0.33136470804140405,0.7711652,0.5144810062492813,1.5517193,0.1466697592575004,2.2606306,0.18397603290847672,1.0165619,0.5206076843488736,6.899433,0.651132854274554,7.0969324,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-74.34066073141008
13,PS0830_E1-50_S83,606271263,606271245,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-604669385\sub-604669385_ses-606271245_icephys.nwb,0,1,1.0,0.0,0.09375,0.16062029489867594,9.082268,0.35943696627662386,-0.37197518,0.44562247325439625,0.6995039,0.7238553223079385,3.1064196,0.47382706059008467,1.2369423,0.5993528033927102,1.7746785,0.07183296960898365,2.0363507,0.1400535613910403,0.940376,0.5340794130460298,6.913498,0.6327655372240574,7.079477,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.81688981072993
15,PS0921_E1-50_S06,611497391,611497338,47,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-610663829\sub-610663829_ses-611497338_icephys.nwb,1,1,0.8187488187488189,1.0,0.0,0.41631328173018695,-2.1216393,0.4261275645045271,0.3881888,0.7151908699579704,0.85899407,0.11740743305268539,-2.446167,0.4355959351877,5.087015,0.8031081106864846,2.672068,0.4355336193265006,2.619798,0.512195004908634,1.999617,0.251751788201359,5.9111886,0.4989511003663413,8.406689,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-62.05977191358831
16,PS0921_E1-50_S12,612271508,612271479,54,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-610663879\sub-610663879_ses-612271479_icephys.nwb,1,0,0.8187488187488189,1.0,0.0,0.5234881637684299,-1.8534364,0.3843952272325139,0.32209986,0.45539525732995706,0.61902237,0.579469062748813,-1.6384124,0.49469546354781874,5.2802396,0.5835310708161366,2.0952368,0.43942152888611763,2.6314497,0.45571560266085054,1.9016504,0.49747336098406625,6.1677275,0.3488726543794464,8.26406,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-70.92022980750454
17,PS0921_E1-50_S26,612893105,612893090,55,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-610663885\sub-610663885_ses-612893090_icephys.nwb,1,0,0.8187488187488189,1.0,0.0,0.507310911165956,-1.8939196,0.43135718343960544,0.39647064,0.45956799589043706,0.6228767,0.5230215999541322,-1.7370912,0.4722134295547327,5.206735,0.6642445371125314,2.307272,0.4403217679763066,2.6341476,0.4758844074231208,1.9366343,0.4326454623013414,6.1000457,0.2962056634717912,8.214007,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-74.08012788825448
18,PS0921_E1-50_S33,613432876,613432846,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-610663891\sub-610663891_ses-613432846_icephys.nwb,1,0,0.8187488187488189,1.0,0.0,0.44823458080563183,-2.0417569,0.5005544107468096,0.50605404,0.5875670174134222,0.74110866,0.26585729511803574,-2.1866539,0.4451101452917478,5.1181216,0.7905797986483966,2.639156,0.4703369771117343,2.7241008,0.4875067648415349,1.9567939,0.37026381324236096,6.034918,0.4932382511315787,8.401259,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-67.96622808631942
19,PS0921_E1-50_S34,614728680,614728579,51,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-612905668\sub-612905668_ses-614728579_icephys.nwb,0,0,1.0,0.0,0.09375,0.5029787069614943,9.939013,0.5050249603507958,-0.1414164,0.47289662560699763,0.7246969,0.5071633146285776,2.7276087,0.352370952921796,0.8398446,0.5727154717778152,1.7047019,0.552199227528596,3.47597,0.5624988764662411,1.67313,0.5003594422709299,6.8782935,0.45043453005151557,6.9061966,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-69.85690923322474
20,SM-GE62S_S105_E1-50,623326230,623326214,49,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-617297304\sub-617297304_ses-623326214_icephys.nwb,1,1,0.22812322812322794,1.0,0.0,0.4681876911878408,12.078622,0.5389579686896901,-0.16906819,0.5848657878629661,0.86270624,0.6309701152635181,2.153512,0.34748415504636404,8.20226,0.5566492409461282,3.3949296,0.19416747469060255,2.0163512,0.27179342103014204,-0.1862,0.7131918374199845,7.046875,0.5760590109932796,6.564152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-66.01329646085165
21,SM-GE62S_S106_E1-50,623326953,623326928,49,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-617297304\sub-617297304_ses-623326928_icephys.nwb,1,1,0.22812322812322794,1.0,0.0,0.23245419802656975,11.488704,0.6042084890104603,-0.06573494,0.4792417822665594,0.76514196,0.48274992233009983,1.8944004,0.5028048929095934,8.710077,0.5857326441912439,3.471332,0.45181548861912624,2.7885017,0.7372252082420723,0.6211164,0.5873922173460349,6.9155374,0.5626534334546894,6.5514116,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-57.76911907306807
22,SM-GE62S_S110_E1-50,623415197,623415006,50,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-617297314\sub-617297314_ses-623415006_icephys.nwb,1,1,1.0,0.0,0.09375,0.2922250205973647,9.411606,0.5164824038899486,-0.12327195,0.4911749821312622,0.7415805,0.6542628476706146,2.9847612,0.4469659157817674,1.1491205,0.5462836130840696,1.6352651,0.16640596590741635,2.3197784,0.22527415988770544,1.0881957,0.5400132582871965,6.919693,0.6279698747450603,7.074919,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-72.15524301291043
23,SM-GE62S_S111_E1-50,623434306,623434287,50,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-617297314\sub-617297314_ses-623434287_icephys.nwb,1,1,0.22812322812322794,1.0,0.0,0.49274486715356064,12.140076,0.5412696622985961,-0.1654073,0.5642638873800566,0.8436764,0.6223704792100869,2.1384785,0.420507959964523,8.4410095,0.561476674757462,3.4076114,0.19471377566553433,2.0179884,0.21089348048792583,-0.2918342,0.6294246868425968,6.95942,0.5955938847071605,6.582717,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-71.52062460620138
25,SM-GE62S_S116_E1-50,623891125,623891110,51,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-617297324\sub-617297324_ses-623891110_icephys.nwb,1,0,0.22812322812322794,1.0,0.0,0.5654335592398664,12.321978,0.5232696011755908,-0.1939129,0.4989371857062827,0.7833345,0.5516900766241749,2.0149183,0.6884751369794866,9.3171215,0.6337428806258953,3.5974555,0.2932638621545581,2.3133352,0.13157192715480506,-0.4294217,0.44363485964953353,6.7654514,0.4906788585488873,6.48301,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-74.49831203824442
26,SM-GE62S_S118_E1-50,623945953,623945666,51,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-617297324\sub-617297324_ses-623945666_icephys.nwb,0,0,0.22812322812322794,1.0,0.0,0.48114443206927143,12.111046,0.5284671150846042,-0.18568191,0.44844662968891214,0.73669666,0.5801338621452519,2.0646424,0.6049764397781526,9.044125,0.5797428907239205,3.455597,0.2936220962145723,2.3144088,0.21296607386302543,-0.28823918,0.38746885867299136,6.706813,0.602607754323597,6.5893826,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-68.53798714485951
27,SM-GE62S_S119_E1-50,623989470,623989197,51,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-617297324\sub-617297324_ses-623989197_icephys.nwb,0,0,0.0,0.4562523625023619,1.0,0.5515351404644385,11.986443,0.4625158075345726,-0.86353016,0.36200528368932194,0.3976335,0.5266290010076773,1.7942185,0.44095713096174377,3.5573447,0.630699721386027,3.1427016,0.4163241432365123,5.830614,0.40954341315396886,2.0429618,0.6363679069285124,7.135558,0.4506422517784778,6.5666637,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-73.88639707516545
31,SM-GE62S_S126_E1-50,626153003,626152964,52,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-617297334\sub-617297334_ses-626152964_icephys.nwb,1,0,1.0,0.0,0.6843755906255904,0.4354073158709781,12.042408,0.5150917208639199,-0.56866175,0.5510909005214235,0.66949224,0.512178325605324,1.801438,0.8289819427066165,7.7133813,0.6330724616910318,3.4844224,0.3308112944305915,4.187417,0.28575260260868507,0.90873826,0.4042975580076611,6.839693,0.4700516896668984,6.388066,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-69.6909629368733
32,SM-GE63V_S103_E1-50,627867607,627867536,53,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-617297348\sub-617297348_ses-627867536_icephys.nwb,1,0,1.0,0.5906255906255905,0.0,0.6288146551934147,7.7034483,0.5139183489683046,-0.11693906,0.4374629028804051,0.6457699,0.5280529769022753,3.2534814,0.565547050403746,3.3330815,0.6421523863121614,1.97511,0.486274136614877,2.921498,0.4275204704815327,1.7094724,0.5059352106440952,7.1823797,0.36646728674510787,6.9884796,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-70.4187574197314
33,SM-GE63V_S097_E1-50,627876797,627876610,53,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-617297348\sub-617297348_ses-627876610_icephys.nwb,0,0,0.22812322812322794,1.0,0.0,0.546954035663248,12.275733,0.4986009911626544,-0.23297906,0.618608281873381,0.893874,0.6229014185988111,2.1394067,0.3913065469890857,8.345536,0.5932845000962106,3.491171,0.21362643379462695,2.0746682,0.1837583297648915,-0.33890158,0.7473269764004585,7.082513,0.4778021184504377,6.4707723,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-74.09508456963583
34,SM-GE63V_S098_E1-50,627881581,627881560,53,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-617297348\sub-617297348_ses-627881560_icephys.nwb,0,0,0.22812322812322794,1.0,0.0,0.2952829013830525,11.645931,0.5105812563945856,-0.21400665,0.43182072022343937,0.7213394,0.449906622739883,1.8369852,0.4714341787754589,8.6075115,0.602949713970208,3.5165615,0.6213574146446197,3.2966053,0.8029475635681522,0.73511535,0.5398433544671754,6.8658953,0.47726675834737325,6.4702635,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-67.63685379352347
35,SM-GE63V_S099_E1-50,627883518,627883502,53,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-617297348\sub-617297348_ses-627883502_icephys.nwb,0,0,0.22812322812322794,1.0,0.0,0.42263540452357773,11.964628,0.3017722651743067,-0.54468465,0.13635614604687057,0.4484205,0.45353625423790844,1.8433304,0.48982904753583495,8.667653,0.6908610854681759,3.7475057,0.8896126730599029,4.100545,0.8681022404328896,0.84812963,0.42174878128504245,6.742602,0.3088270162296038,6.310185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-67.45729713796378
36,SM-GE63V_S131_E1-50,636854912,636854897,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-626194690\sub-626194690_ses-636854897_icephys.nwb,1,1,0.22812322812322794,1.0,0.0,0.4646328666652965,12.069726,0.37405507529725696,-0.4302148,0.3928665135001855,0.68535763,0.4219251077192121,1.7880692,0.4541141889675905,8.550884,0.6327340303646334,3.5948052,0.7902193085259865,3.802671,0.7429538811410079,0.6310531,0.4822304306362601,6.805746,0.37513540402771445,6.373202,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-66.49727209077827
37,SM-GE63V_S132_E1-50,636856236,636856220,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-626194690\sub-626194690_ses-636856220_icephys.nwb,1,1,0.22812322812322794,1.0,0.0,0.32500082281235454,11.7203,0.4873682404634542,-0.25076768,0.42748356292249534,0.7173332,0.44126920856914464,1.8218857,0.4769007476896908,8.625384,0.6083587160141943,3.530771,0.6560045273279507,3.40044,0.7947867389660143,0.72095996,0.5236791982995237,6.8490195,0.45425630878163914,6.4483953,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-68.05557998004664
38,SM-GE63V_S146_E1-50,636946168,636946141,55,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-626194701\sub-626194701_ses-636946141_icephys.nwb,1,0,0.0,0.4562523625023619,1.0,0.3893763778773501,11.580644,0.495887683625699,-0.81068116,0.5367400740750004,0.559035,0.5442623123142867,1.8250443,0.5044587042911347,3.7649615,0.5814767953875953,3.0133924,0.48163952821286743,6.026359,0.46951884877342714,2.1469924,0.4682005770249486,6.9599876,0.4807573864982817,6.595284,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-69.77402102023436
39,SM-GE63V_S161_E1-50,637321656,637321403,48,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-626194826\sub-626194826_ses-637321403_icephys.nwb,1,1,0.8187488187488189,1.0,0.0,0.4698666388494118,-1.9876231,0.6152763956441176,0.6877322,0.449633567801979,0.61370033,0.4317254605407729,-1.8966908,0.44567617042264085,5.119972,0.8595868445913011,2.8204384,0.496639535322724,2.8029275,0.48338779713891467,1.9496493,0.4248216654277895,6.0918775,0.3816104013379737,8.295173,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-60.522202681797566
40,SM-GE63V_S153_E1-50,637327988,637327686,48,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-626194826\sub-626194826_ses-637327686_icephys.nwb,0,1,0.8187488187488189,1.0,0.0,0.5888145905676464,-1.6899583,0.9524877166827814,1.2217531,0.10078839752595166,0.29147407,0.5827042061446333,-1.6327568,0.5068916206067732,5.3201146,0.7772382168018191,2.6041076,0.6944039886474557,3.3956118,0.4444660849098437,1.8821375,0.9162451715731478,6.6049347,0.9134793745082033,8.80064,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-79.33923054918678
41,SM-GE63V_S162_E1-50,637329085,637328829,48,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-626194826\sub-626194826_ses-637328829_icephys.nwb,1,1,0.13437322812322863,0.0,1.0,0.500183493714632,-2.1134994,0.331196051090596,1.7038679,0.6192620528580791,-0.3861095,0.3328067847100191,0.30752006,0.48006369203745636,5.464377,0.5820852275710696,3.0319095,0.4204624109100234,3.4988868,0.4641516069917071,2.089825,0.41620087348451507,6.797025,0.4949617393734029,7.8732843,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-63.41306736565463
42,SM-GE63V_S163_E1-50,637362685,637362669,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-626194722\sub-626194722_ses-637362669_icephys.nwb,1,0,0.22812322812322794,1.0,0.0,0.5402540603276077,12.258966,0.45387831347636914,-0.30380362,0.5149376199553829,0.798114,0.5913007735784276,2.084164,0.561254972697729,8.901178,0.6279252016543754,3.5821724,0.3351449480360136,2.4388494,0.19886106816156987,-0.31270507,0.5644661631799631,6.891602,0.4176024553522422,6.413561,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-70.37838717531201
43,SM-GE63V_S155_E1-50,637365495,637365476,48,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-626194826\sub-626194826_ses-637365476_icephys.nwb,0,1,0.8187488187488189,1.0,0.0,0.4600623371621871,-2.0121582,0.4993655462001345,0.5041713,0.5589640286705639,0.71468824,0.32492372248545526,-2.0833967,0.45871443753204016,5.1626005,0.7454392856089507,2.5205715,0.4767296611282797,2.7432592,0.47209621894985193,1.9300635,0.4280955110780884,6.0952954,0.5188923861547134,8.42564,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-74.44795995176244
44,SM-GE63V_S156_E1-50,637379909,637379889,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-626194722\sub-626194722_ses-637379889_icephys.nwb,0,0,1.0,0.0,0.6843755906255904,0.5714090790204727,12.38275,0.4811727796451801,-0.6223771,0.5156573713804752,0.6367625,0.5322642823003543,1.8365513,0.789026489779741,7.582748,0.6626231706212176,3.5620525,0.33651678639508203,4.204516,0.17218306268373304,0.7117458,0.46956939892979593,6.9078383,0.4366927845006919,6.356363,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-83.77783742154519
45,SM-GE63V_S158_E1-50,637381329,637381314,56,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-626194722\sub-626194722_ses-637381314_icephys.nwb,0,0,0.0,1.0,0.3625004724974956,0.6161233269028453,-0.19439958,0.43512476282310897,-0.59523237,0.7361616156216066,-0.23555943,0.37217241829049486,9.997207,0.4551418140828372,5.1139064,0.5957535331438565,1.3827895,0.47379831526788785,3.789463,0.43126625488571585,2.3138115,0.6001733692263312,7.3720965,0.5904891483542293,6.356445,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-74.2259077833077
46,SM-GE63V_S190_E1-50,637823753,637823738,47,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-636828314\sub-636828314_ses-637823738_icephys.nwb,1,1,0.8187488187488189,1.0,0.0,0.4304385454131025,-2.086291,0.5275944455250003,0.5488757,0.6031511134704214,0.7555036,0.22516303447423403,-2.2577937,0.44472234296682,5.1168537,0.841744371146418,2.773566,0.4642131078606315,2.705748,0.4955526105010789,1.9707499,0.34096956294039116,6.004334,0.44901961394032375,8.359236,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-66.87388145256313
47,SM-GE63V_S191_E1-50,637824915,637824890,47,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-636828314\sub-636828314_ses-637824890_icephys.nwb,1,1,0.0,1.0,0.3625004724974956,0.5157066379307262,-0.44569024,0.5203197778311417,-0.46031424,0.543682184332691,-0.41335157,0.9019683711465065,10.923371,0.5011494043085196,5.264327,0.7119703877704947,1.6880925,0.5068541781914132,3.8885288,0.38395279800243537,2.2317438,0.7756054576278936,7.5552516,0.6741387881505716,6.435942,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-70.04845397438307
48,SM-GE63V_S181_E1-50,637824948,637824933,47,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-636828314\sub-636828314_ses-637824933_icephys.nwb,0,1,0.8187488187488189,1.0,0.0,0.5160089032917585,-1.872153,0.17665118257999904,-0.006891646,0.4837463266211782,0.6452101,0.8802951198006498,-1.1125222,0.6282041801598643,5.716743,0.029810159333602607,0.64060575,0.45085661783845743,2.6657197,0.33116069415755145,1.6856033,0.8627894105643614,6.5491257,0.6203177876486818,8.522031,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-68.51511685514426
49,SM-GE63O_S001_E1-50,637833144,637833126,47,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-636828314\sub-636828314_ses-637833126_icephys.nwb,1,1,0.0,1.0,0.3625004724974956,0.4716254728843253,-0.55600244,0.5223719589491709,-0.45706433,0.39123132782800046,-0.55416954,0.725300983114637,10.61453,0.5124369459164398,5.3012314,0.6694629956945243,1.5764251,0.490133883869976,3.8384194,0.39485263681744814,2.2506502,0.659151917847201,7.4336715,0.5642529911009588,6.331511,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-71.4132205753803
51,SM-GE63V_S182_E1-50,637846989,637846912,47,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-636828314\sub-636828314_ses-637846912_icephys.nwb,0,1,0.0,1.0,0.3625004724974956,0.4788947279484264,-0.5378113,0.5516471885490728,-0.41070294,0.38688958900014403,-0.55818,0.8113090725951169,10.764885,0.5203357748430149,5.3270564,0.6966956905438453,1.6479657,0.5020185354856825,3.8740368,0.364290505378191,2.1976385,0.7412049581113115,7.5193367,0.6306707589388708,6.394632,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-82.1523890252375
